synset	name	num_imgs
n02119789	kit_fox	1300
n02100735	English_setter	1300
n02110185	Siberian_husky	1300
n02096294	Australian_terrier	1300
n02102040	English_springer	1300
n02066245	grey_whale	1150
n02509815	lesser_panda	1300
n02124075	Egyptian_cat	1300
n02417914	ibex	1300
n02123394	Persian_cat	1300
n02125311	cougar	1300
n02423022	gazelle	1300
n02346627	porcupine	1300
n02077923	sea_lion	1300
n02110063	malamute	1300
n02447366	badger	1300
n02109047	Great_Dane	1300
n02089867	Walker_hound	1025
n02102177	Welsh_springer_spaniel	1300
n02091134	whippet	1300
n02092002	Scottish_deerhound	1300
n02071294	killer_whale	1300
n02442845	mink	1300
n02504458	African_elephant	1300
n02092339	Weimaraner	1300
n02098105	soft-coated_wheaten_terrier	1300
n02096437	Dandie_Dinmont	1156
n02114712	red_wolf	1300
n02105641	Old_English_sheepdog	1300
n02128925	jaguar	1300
n02091635	otterhound	738
n02088466	bloodhound	1300
n02096051	Airedale	1300
n02117135	hyena	1300
n02138441	meerkat	1300
n02097130	giant_schnauzer	1300
n02493509	titi	1300
n02457408	three-toed_sloth	1300
n02389026	sorrel	1300
n02443484	black-footed_ferret	1300
n02110341	dalmatian	1300
n02089078	black-and-tan_coonhound	732
n02086910	papillon	1300
n02445715	skunk	1300
n02093256	Staffordshire_bullterrier	1300
n02113978	Mexican_hairless	755
n02106382	Bouvier_des_Flandres	1300
n02441942	weasel	1300
n02113712	miniature_poodle	1300
n02113186	Cardigan	1300
n02105162	malinois	1300
n02415577	bighorn	1300
n02356798	fox_squirrel	1206
n02488702	colobus	1300
n02123159	tiger_cat	1300
n02098413	Lhasa	1300
n02422699	impala	1300
n02114855	coyote	1300
n02094433	Yorkshire_terrier	1300
n02111277	Newfoundland	1300
n02132136	brown_bear	1300
n02119022	red_fox	1300
n02091467	Norwegian_elkhound	1300
n02106550	Rottweiler	1300
n02422106	hartebeest	1300
n02091831	Saluki	1300
n02120505	grey_fox	1300
n02104365	schipperke	1300
n02086079	Pekinese	1300
n02112706	Brabancon_griffon	1070
n02098286	West_Highland_white_terrier	1300
n02095889	Sealyham_terrier	936
n02484975	guenon	1300
n02137549	mongoose	1300
n02500267	indri	1300
n02129604	tiger	1300
n02090721	Irish_wolfhound	1300
n02396427	wild_boar	1300
n02108000	EntleBucher	1300
n02391049	zebra	1300
n02412080	ram	1300
n02108915	French_bulldog	1300
n02480495	orangutan	1300
n02110806	basenji	1300
n02128385	leopard	1300
n02107683	Bernese_mountain_dog	1300
n02085936	Maltese_dog	1300
n02094114	Norfolk_terrier	1300
n02087046	toy_terrier	860
n02100583	vizsla	1300
n02096177	cairn	1300
n02494079	squirrel_monkey	1300
n02105056	groenendael	1300
n02101556	clumber	1300
n02123597	Siamese_cat	1300
n02481823	chimpanzee	1300
n02105505	komondor	1300
n02088094	Afghan_hound	1300
n02085782	Japanese_spaniel	772
n02489166	proboscis_monkey	1300
n02364673	guinea_pig	1300
n02114548	white_wolf	1300
n02134084	ice_bear	1300
n02480855	gorilla	1300
n02090622	borzoi	1300
n02113624	toy_poodle	1300
n02093859	Kerry_blue_terrier	1273
n02403003	ox	1300
n02097298	Scotch_terrier	1300
n02108551	Tibetan_mastiff	1300
n02493793	spider_monkey	1300
n02107142	Doberman	1300
n02096585	Boston_bull	1300
n02107574	Greater_Swiss_Mountain_dog	1300
n02107908	Appenzeller	1300
n02086240	Shih-Tzu	1300
n02102973	Irish_water_spaniel	969
n02112018	Pomeranian	1300
n02093647	Bedlington_terrier	1258
n02397096	warthog	1300
n02437312	Arabian_camel	1300
n02483708	siamang	1300
n02097047	miniature_schnauzer	1300
n02106030	collie	1300
n02099601	golden_retriever	1300
n02093991	Irish_terrier	1300
n02110627	affenpinscher	954
n02106166	Border_collie	1300
n02326432	hare	1300
n02108089	boxer	1300
n02097658	silky_terrier	1300
n02088364	beagle	1300
n02111129	Leonberg	1300
n02100236	German_short-haired_pointer	1300
n02486261	patas	1300
n02115913	dhole	1300
n02486410	baboon	1300
n02487347	macaque	1300
n02099849	Chesapeake_Bay_retriever	1300
n02108422	bull_mastiff	1300
n02104029	kuvasz	1300
n02492035	capuchin	1300
n02110958	pug	1300
n02099429	curly-coated_retriever	1218
n02094258	Norwich_terrier	1300
n02099267	flat-coated_retriever	1300
n02395406	hog	1300
n02112350	keeshond	1300
n02109961	Eskimo_dog	1300
n02101388	Brittany_spaniel	1300
n02113799	standard_poodle	1300
n02095570	Lakeland_terrier	1300
n02128757	snow_leopard	1300
n02101006	Gordon_setter	1300
n02115641	dingo	1300
n02097209	standard_schnauzer	1300
n02342885	hamster	1300
n02097474	Tibetan_terrier	1300
n02120079	Arctic_fox	1300
n02095314	wire-haired_fox_terrier	977
n02088238	basset	1300
n02408429	water_buffalo	1300
n02133161	American_black_bear	1300
